Player,Married?,Tournament Earnings($),Rank,Year
Mariusz Fyrstenberg,Yes,Unable to Retrieve Information,58,2016,
Leander Paes,No,117862,59,2016,
Wesley Koolhof,No,89686,60,2016,
Nenad Zimonjic,Yes,207191,61,2016,
Artem Sitak,No,115640,62,2016,
Divij Sharan,No,59320,63,2016,
Andreas Siljestrom,No,65118,64,2016,
Purav Raja,Yes,66093,65,2016,
Philipp Petzschner,Yes,119894,66,2016,
Marcelo Demoliner,No,82378,67,2016,
Adil Shamasdin,No,98725,68,2016,
Brian Baker,Yes,87134,69,2016,
Maximo Gonzalez,No,64663,70,2016,
Philipp Oswald,Yes,51311,71,2016,
Johan Brunstrom,Yes,Unable to Retrieve Information,72,2016,
Jamie Cerretani,No,34943,73,2016,
Nikola Mektic,No,41798,74,2016,
Eric Butorac,No,1670,75,2016,
Colin Fleming,No,Unable to Retrieve Information,76,2016,
Ken Skupski,No,55581,77,2016,
Antonio Sancic,Yes,37814,78,2016,
John-Patrick Smith,No,78413,79,2016,
Sergio Galdos,No,22025,80,2016,
Neal Skupski,No,41766,81,2016,
Andrej Martin,No,199164,82,2016,
Matt Reid,No,27061,83,2016,
Aliaksandr Bury,No,0,84,2016,
Steve Johnson,Yes,1015211,85,2016,
Hans Podlipnik-Castillo,No,52432,86,2016,
Julian Knowle,No,Unable to Retrieve Information,87,2016,
Lucas Pouille,Yes,1673931,88,2016,
Viktor Troicki,Yes,1092007,89,2016,
Mikhail Elgin,No,46253,90,2016,
Ariel Behar,No,24231,91,2016,
Adrian Mannarino,No,615701,92,2016,
Jonathan Marray,No,Unable to Retrieve Information,93,2016,
Dominic Thiem,No,2775117,94,2016,
Tristan-Samuel Weissborn,No,30476,95,2016,
Andreas Seppi,Yes,570779,96,2016,
Sam Querrey,Yes,1008632,97,2016,
Mao-Xin Gong,Yes,38726,98,2016,
Jonathan Eysseric,No,25355,99,2016,
Jeevan Nedunchezhiyan,Yes,24724,100,2016,
Fabricio Neis,No,17653,101,2016,
Thomaz Bellucci,Yes,517431,102,2016,
Denys Molchanov,No,36308,103,2016,
Roman Jebavy,No,18427,104,2016,
Jeremy Chardy,Yes,656383,105,2016,
Andre Begemann,No,55490,106,2016,
Franko Skugor,No,23101,107,2016,
Sonchat Ratiwatana,No,24197,108,2016,
Andrei Vasilevski,No,20137,109,2016,
Max Schnur,No,17453,110,2016,
Gero Kretschmer,Yes,0,111,2016,
Austin Krajicek,No,42494,112,2016,
Marin Draganja,No,0,113,2016,
Albano Olivetti,No,24846,114,2016,
Jordan Thompson,No,278131,115,2016,
Sander Arends,No,20214,116,2016,
Sanchai Ratiwatana,No,23181,117,2016,
Igor Zelenay,No,42400,118,2016,
Marcelo Arevalo,Yes,25334,119,2016,
Leonardo Mayer,Yes,308291,120,2016,
Chu-Huan Yi,No,3206,121,2016,
Riccardo Ghedin,No,1380,122,2016,
Simone Bolelli,Yes,96370,123,2016,
Marin Cilic,Yes,3017428,124,2016,
Alexander Satschko,No,Unable to Retrieve Information,125,2016,
Inigo Cervantes,No,53678,126,2016,
Mateusz Kowalczyk,No,24087,127,2016,
Miguel Angel Reyes-Varela,No,22165,128,2016,
Lukas Rosol,No,440640,129,2016,
Alexander Kudryavtsev,Yes,117597,130,2016,
Ze Zhang,Yes,87531,131,2016,
Rafael Nadal,Yes,2714278,132,2016,
Joao Sousa,No,977039,133,2016,
Tristan Lamasine,No,103137,134,2016,
Kevin Krawietz,No,14528,135,2016,
Hsien-Yin Peng,No,0,136,2016,
Dino Marcan,Yes,1238,137,2016,
Denis Istomin,No,405402,138,2016,
Peter Polansky,No,99391,139,2016,
Rameez Junaid,No,26628,140,2016,
Luke Saville,No,82106,141,2016,
Cheng-Peng Hsieh,No,23657,142,2016,
Diego Schwartzman,No,441494,143,2016,
Frederik Nielsen,No,39614,144,2016,
Bernard Tomic,No,1085126,145,2016,
Konstantin Kravchuk,Yes,32091,146,2016,
Facundo Arguello,No,41561,147,2016,
Robin Haase,No,446909,148,2016,
Dennis Novikov,No,190229,149,2016,
David O'Hare,No,0,150,2016,
Philip Bester,No,27187,151,2016,
Federico Delbonis,Yes,681684,152,2016,
Gilles Muller,Yes,752157,153,2016,
Alessandro Motti,No,0,154,2016,
Dudi Sela,Yes,344436,155,2016,
Andrey Golubev,No,62548,156,2016,
Luca Margaroli,No,10448,157,2016,
Sander Gille,No,10105,158,2016,
Joran Vliegen,No,10200,159,2016,
Stephane Robert,No,525756,160,2016,
Alexander Zverev,No,1324084,161,2016,
Jurgen Melzer,Yes,34143,162,2016,
Tomasz Bednarek,No,17593,163,2016,
Caio Zampieri,No,24321,164,2016,
Facundo Bagnis,No,287122,165,2016,
Rogerio Dutra Silva,Yes,210289,166,2016,
Philipp Kohlschreiber,Yes,915346,167,2016,
Jo-Wilfried Tsonga,Yes,2027645,168,2016,
Fernando Verdasco,Yes,771606,169,2016,
Ti Chen,No,13275,170,2016,
David Perez Sanz,No,9272,171,2016,
Donald Young,No,460910,172,2016,
Dustin Brown,No,344362,173,2016,
Fabio Fognini,Yes,714580,174,2016,
Ruan Roelofse,No,430,175,2016,
Sekou Bangoura,No,50350,176,2016,
Nicolas Barrientos,No,12667,177,2016,
Benoit Paire,No,844929,178,2016,
Paolo Lorenzi,Yes,704215,179,2016,
Jarryd Chaplin,No,3644,180,2016,
Andreas Mies,No,10165,181,2016,
Jan-Lennard Struff,No,370930,182,2016,
Dean O'Brien,No,0,183,2016,
Jiri Vesely,Yes,636568,184,2016,
Isak Arvidsson,No,11361,185,2016,
Mahesh Bhupathi,Yes,Unable to Retrieve Information,186,2016,
Sergey Betov,No,7708,187,2016,
Mark Vervoort,No,11255,188,2016,
Christopher Rungkat,No,8451,189,2016,
Marco Chiudinelli,No,186833,190,2016,
Maximilian Neuchrist,No,9355,191,2016,
Andrea Arnaboldi,No,89983,192,2016,
Steven De Waard,No,5496,193,2016,
Victor Estrella Burgos,No,388180,194,2016,
Toshihide Matsui,Yes,11180,195,2016,
Guilherme Clezar,No,90814,196,2016,
Fred Simonsson,No,8662,197,2016,
Ben McLachlan,No,10230,198,2016,
Flavio Cipolla,No,7486,199,2016,
Roberto Maytin,No,17071,200,2016,
Marcelo Melo,No,1022967,1,2015,
Horia Tecau,No,886584,2,2015,
Jean-Julien Rojer,No,890346,3,2015,
Bob Bryan,Yes,775723,4,2015,
Mike Bryan,Yes,779466,5,2015,
Ivan Dodig,Yes,730581,6,2015,
Jamie Murray,Yes,644337,7,2015,
John Peers,Yes,666588,8,2015,
Rohan Bopanna,Yes,648689,9,2015,
Fabio Fognini,Yes,1200277,10,2015,
Florin Mergea,Yes,590953,11,2015,
Nicolas Mahut,No,657992,12,2015,
Simone Bolelli,Yes,626402,13,2015,
Pierre-Hugues Herbert,No,209664,14,2015,
Nenad Zimonjic,Yes,520884,15,2015,
Marcin Matkowski,Yes,488084,16,2015,
Edouard Roger-Vasselin,Yes,418908,17,2015,
Daniel Nestor,Yes,488767,18,2015,
Jack Sock,No,902176,19,2015,
Raven Klaasen,Yes,409657,20,2015,
Vasek Pospisil,No,856816,21,2015,
Bruno Soares,Yes,356507,22,2015,
Dominic Inglot,No,268654,23,2015,
Alexander Peya,Yes,337648,24,2015,
Juan Sebastian Cabal,Yes,250567,25,2015,
Robert Lindstedt,No,252020,26,2015,
Robert Farah,No,230340,27,2015,
Max Mirnyi,Yes,246258,28,2015,
Lukasz Kubot,No,237434,29,2015,
David Marrero,Yes,283606,30,2015,
Henri Kontinen,No,266095,31,2015,
Marc Lopez,No,201012,32,2015,
Treat Huey,No,172432,33,2015,
Pablo Cuevas,No,783081,34,2015,
Feliciano Lopez,No,1350029,35,2015,
Rajeev Ram,Yes,205208,36,2015,
Aisam-Ul-Haq Qureshi,No,177739,37,2015,
Sam Querrey,Yes,526082,38,2015,
Marcel Granollers,No,515326,39,2015,
Scott Lipsky,No,Unable to Retrieve Information,40,2015,
Leander Paes,No,196486,41,2015,
Andre Sa,No,384,42,2015,
Artem Sitak,No,131355,43,2015,
Michael Venus,No,121583,44,2015,
Eric Butorac,No,401,45,2015,
Jeremy Chardy,Yes,991907,46,2015,
Marin Draganja,No,Unable to Retrieve Information,47,2015,
Oliver Marach,Yes,121676,48,2015,
Jonathan Erlich,Yes,128468,49,2015,
Philipp Petzschner,Yes,106886,50,2015,
Julian Knowle,No,Unable to Retrieve Information,51,2015,
Steve Johnson,Yes,928660,52,2015,
Jonathan Marray,No,Unable to Retrieve Information,53,2015,
Mate Pavic,No,102266,54,2015,
Nicholas Monroe,No,107411,55,2015,
Mariusz Fyrstenberg,Yes,Unable to Retrieve Information,56,2015,
Philipp Oswald,Yes,143854,57,2015,
Colin Fleming,No,545,58,2015,
Chris Guccione,No,104527,59,2015,
Aliaksandr Bury,No,0,60,2015,
Andre Begemann,No,120091,61,2015,
Guillermo Duran,No,52648,62,2015,
Mikhail Elgin,No,37431,63,2015,
Rameez Junaid,No,92423,64,2015,
Santiago Gonzalez,Yes,113617,65,2015,
Matwe Middelkoop,No,33841,66,2015,
Wesley Koolhof,No,33805,67,2015,
Sergey Betov,No,5374,68,2015,
Adil Shamasdin,No,95185,69,2015,
Maximo Gonzalez,No,61355,70,2015,
Fabrice Martin,No,64357,71,2015,
Horacio Zeballos,Yes,45917,72,2015,
Hans Podlipnik-Castillo,No,21691,73,2015,
Igor Zelenay,No,39584,74,2015,
Radu Albot,No,154199,75,2015,
Marcus Daniell,No,74422,76,2015,
Robin Haase,No,434629,77,2015,
Marcelo Demoliner,No,64956,78,2015,
Carlos Berlocq,Yes,194333,79,2015,
Andres Molteni,No,25157,80,2015,
Radek Stepanek,No,241038,81,2015,
Dustin Brown,No,350075,82,2015,
Austin Krajicek,No,58111,83,2015,
Gero Kretschmer,Yes,520,84,2015,
Leonardo Mayer,Yes,704175,85,2015,
Alexander Satschko,No,Unable to Retrieve Information,86,2015,
Guillermo Garcia-Lopez,No,949399,87,2015,
Rafael Nadal,Yes,3856515,88,2015,
Denis Istomin,No,516271,89,2015,
Frantisek Cermak,No,0,90,2015,
Lukas Rosol,No,709955,91,2015,
Andrej Martin,No,54484,92,2015,
Purav Raja,Yes,41595,93,2015,
Mateusz Kowalczyk,No,28686,94,2015,
Pablo Andujar,Yes,701494,95,2015,
Andreas Siljestrom,No,34217,96,2015,
Antonio Sancic,Yes,21324,97,2015,
Kevin Anderson,Yes,1790132,98,2015,
Fernando Verdasco,Yes,745138,99,2015,
Ken Skupski,No,30918,100,2015,
Martin Klizan,No,717474,101,2015,
Julio Peralta,No,22994,102,2015,
Neal Skupski,No,31248,103,2015,
Pablo Carreno Busta,No,427994,104,2015,
Denys Molchanov,No,18130,105,2015,
Miguel Angel Reyes-Varela,No,25962,106,2015,
Jurgen Melzer,Yes,86874,107,2015,
Frederik Nielsen,No,32906,108,2015,
Flavio Cipolla,No,16144,109,2015,
Ilija Bozoljac,No,9016,110,2015,
Diego Schwartzman,No,374619,111,2015,
Johan Brunstrom,Yes,350,112,2015,
Joao Souza,No,289545,113,2015,
Donald Young,No,671720,114,2015,
Dino Marcan,Yes,1780,115,2015,
Andrew Whittington,No,10062,116,2015,
Yen-Hsun Lu,Yes,460007,117,2015,
Frank Moser,No,390,118,2015,
Hsin-Han Lee,No,0,119,2015,
Sanchai Ratiwatana,No,15442,120,2015,
Sonchat Ratiwatana,No,15442,121,2015,
John Isner,Yes,1681843,122,2015,
Carsten Ball,No,1090,123,2015,
Julien Benneteau,Yes,74679,124,2015,
Novak Djokovic,Yes,18267125,125,2015,
Saketh Myneni,No,13666,126,2015,
Dean O'Brien,No,1469,127,2015,
Tristan Lamasine,No,60588,128,2015,
Andrey Rublev,No,157670,129,2015,
Teymuraz Gabashvili,No,557160,130,2015,
Sam Groth,No,503647,131,2015,
Ruan Roelofse,No,5358,132,2015,
Riccardo Ghedin,No,11610,133,2015,
Divij Sharan,No,15596,134,2015,
Jamie Cerretani,No,19191,135,2015,
Cesar Ramirez,No,1523,136,2015,
Sergiy Stakhovsky,Yes,630295,137,2015,
Joao Sousa,No,848973,138,2015,
Gilles Muller,Yes,749897,139,2015,
Yan Bai,No,53848,140,2015,
Sander Arends,No,10732,141,2015,
Mao-Xin Gong,Yes,29612,142,2015,
Nicolas Almagro,Yes,388305,143,2015,
Franko Skugor,No,13991,144,2015,
Mark Vervoort,No,11354,145,2015,
Ricardas Berankis,No,410561,146,2015,
Roberto Maytin,No,19932,147,2015,
Hsien-Yin Peng,No,0,148,2015,
Andy Murray,Yes,6720153,149,2015,
Adrian Ungur,No,42333,150,2015,
Thomaz Bellucci,Yes,731423,151,2015,
Cheng-Peng Hsieh,No,15280,152,2015,
Nicolas Barrientos,No,15587,153,2015,
Ti Chen,No,14874,154,2015,
Lleyton Hewitt,Yes,212068,155,2015,
Chase Buchanan,No,48083,156,2015,
Alessandro Motti,No,0,157,2015,
Chu-Huan Yi,No,5229,158,2015,
Alex Bolt,No,36751,159,2015,
Aleksandr Nedovyesov,No,12568,160,2015,
Matt Seeberger,No,1342,161,2015,
Jan-Lennard Struff,No,311633,162,2015,
Ruben Bemelmans,No,298028,163,2015,
Martin Emmrich,No,0,164,2015,
Zhe Li,No,23510,165,2015,
Andrea Arnaboldi,No,154062,166,2015,
Nick Kyrgios,No,961018,167,2015,
Thanasi Kokkinakis,No,436844,168,2015,
Santiago Giraldo,No,573526,169,2015,
Viktor Troicki,Yes,1079164,170,2015,
Paolo Lorenzi,Yes,364593,171,2015,
Maximilian Neuchrist,No,8820,172,2015,
Matt Reid,No,19497,173,2015,
Dusan Lajovic,No,374745,174,2015,
Andrey Golubev,No,176102,175,2015,
Yaraslav Shyla,No,22909,176,2015,
Nikola Mektic,No,11190,177,2015,
Sergio Galdos,No,10660,178,2015,
Dennis Novikov,No,73870,179,2015,
Darren Walsh,No,Unable to Retrieve Information,180,2015,
Jiri Vesely,Yes,694121,181,2015,
Tristan-Samuel Weissborn,No,9576,182,2015,
Stan Wawrinka,No,5800265,183,2015,
Benjamin Becker,Yes,492018,184,2015,
Adam Majchrowicz,No,1769,185,2015,
Eduardo Struvay,No,24974,186,2015,
Matthew Ebden,Yes,191054,187,2015,
Marcelo Arevalo,Yes,7601,188,2015,
Sekou Bangoura,No,21892,189,2015,
Renzo Olivo,No,60687,190,2015,
Victor Estrella Burgos,No,482456,191,2015,
Adrian Menendez-Maceiras,No,127871,192,2015,
Costin Paval,No,172,193,2015,
Brydan Klein,No,10104,194,2015,
Tennys Sandgren,No,27497,195,2015,
Maxime Teixeira,No,25005,196,2015,
Jan Satral,No,29776,197,2015,
Andrei Vasilevski,No,7735,198,2015,
Tomas Berdych,Yes,3257923,199,2015,
Janko Tipsarevic,Yes,132733,200,2015,
Bob Bryan,Yes,1493490,1,2014,
Mike Bryan,Yes,1493490,2,2014,
Nenad Zimonjic,Yes,747169,3,2014,
Daniel Nestor,Yes,702079,4,2014,
Julien Benneteau,Yes,847123,5,2014,
Marcelo Melo,No,530854,6,2014,
Edouard Roger-Vasselin,Yes,603098,7,2014,
Marcel Granollers,No,725566,8,2014,
Marc Lopez,No,483292,9,2014,
Alexander Peya,Yes,507172,10,2014,
Bruno Soares,Yes,507172,11,2014,
Ivan Dodig,Yes,443092,12,2014,
Robert Lindstedt,No,494254,13,2014,
Vasek Pospisil,No,632565,14,2014,
Jack Sock,No,565344,15,2014,
Jean-Julien Rojer,No,519036,16,2014,
Horia Tecau,No,519036,17,2014,
Lukasz Kubot,No,459750,18,2014,
Nicolas Mahut,No,337095,19,2014,
Eric Butorac,No,Unable to Retrieve Information,20,2014,
Raven Klaasen,Yes,309638,21,2014,
Juan Sebastian Cabal,Yes,313445,22,2014,
Robert Farah,No,269857,23,2014,
Florin Mergea,Yes,269169,24,2014,
Marin Draganja,No,0,25,2014,
Michael Llodra,Yes,182881,26,2014,
Marcin Matkowski,Yes,263798,27,2014,
David Marrero,Yes,249454,28,2014,
Leander Paes,No,236571,29,2014,
Rohan Bopanna,Yes,270384,30,2014,
Sam Groth,No,291068,31,2014,
Scott Lipsky,No,725,32,2014,
Radek Stepanek,No,499289,33,2014,
Aisam-Ul-Haq Qureshi,No,228676,34,2014,
Jurgen Melzer,Yes,194606,35,2014,
Santiago Gonzalez,Yes,182851,36,2014,
Fernando Verdasco,Yes,799398,37,2014,
Chris Guccione,No,122856,38,2014,
Lukas Rosol,No,752020,39,2014,
Julian Knowle,No,Unable to Retrieve Information,40,2014,
Andre Begemann,No,156752,41,2014,
Jamie Murray,Yes,189673,42,2014,
John Peers,Yes,197802,43,2014,
Mariusz Fyrstenberg,Yes,Unable to Retrieve Information,44,2014,
Robin Haase,No,439474,45,2014,
Henri Kontinen,No,118732,46,2014,
Max Mirnyi,Yes,175279,47,2014,
Dominic Inglot,No,182390,48,2014,
Guillermo Garcia-Lopez,No,800103,49,2014,
Treat Huey,No,169910,50,2014,
Philipp Oswald,Yes,120327,51,2014,
Feliciano Lopez,No,1399850,52,2014,
Rajeev Ram,Yes,125212,53,2014,
Pablo Cuevas,No,528384,54,2014,
Johan Brunstrom,Yes,470,55,2014,
Mate Pavic,No,104010,56,2014,
Fabio Fognini,Yes,1085883,57,2014,
Kevin Anderson,Yes,1363382,58,2014,
Daniele Bracciali,No,100985,59,2014,
Maximo Gonzalez,No,64991,60,2014,
Frantisek Cermak,No,0,61,2014,
Michael Venus,No,84119,62,2014,
Pierre-Hugues Herbert,No,247059,63,2014,
Sam Querrey,Yes,588602,64,2014,
Nicholas Monroe,No,112783,65,2014,
Jeremy Chardy,Yes,921069,66,2014,
Oliver Marach,Yes,118366,67,2014,
Artem Sitak,No,49159,68,2014,
Austin Krajicek,No,55097,69,2014,
Leonardo Mayer,Yes,1046234,70,2014,
Colin Fleming,No,0,71,2014,
Mikhail Youzhny,Yes,693920,72,2014,
Andre Sa,No,441,73,2014,
Andrey Golubev,No,392313,74,2014,
Adil Shamasdin,No,44512,75,2014,
Jonathan Marray,No,Unable to Retrieve Information,76,2014,
Tomasz Bednarek,No,90674,77,2014,
Lukas Dlouhy,No,817,78,2014,
Horacio Zeballos,Yes,61502,79,2014,
Joao Sousa,No,672525,80,2014,
Jesse Huta Galung,No,120651,81,2014,
John-Patrick Smith,No,62337,82,2014,
Jarkko Nieminen,Yes,566430,83,2014,
Nicolas Barrientos,No,39565,84,2014,
Dustin Brown,No,330144,85,2014,
Potito Starace,No,87622,86,2014,
Jonathan Erlich,Yes,86171,87,2014,
Rameez Junaid,No,66733,88,2014,
Matthew Ebden,Yes,310452,89,2014,
Ken Skupski,No,55593,90,2014,
Neal Skupski,No,55593,91,2014,
Aliaksandr Bury,No,4830,92,2014,
Guillermo Duran,No,16234,93,2014,
Frederik Nielsen,No,49489,94,2014,
Sergey Betov,No,3251,95,2014,
Stan Wawrinka,No,4912119,96,2014,
Alexander Satschko,No,Unable to Retrieve Information,97,2014,
Philipp Marx,No,Unable to Retrieve Information,98,2014,
Andreas Siljestrom,No,37361,99,2014,
Roger Federer,Yes,7993989,100,2014,
Steve Johnson,Yes,499818,101,2014,
Marcelo Demoliner,No,33265,102,2014,
Marin Cilic,Yes,4667359,103,2014,
Ryan Harrison,Yes,213068,104,2014,
Facundo Bagnis,No,143989,105,2014,
Santiago Giraldo,No,929828,106,2014,
Alex Bolt,No,56352,107,2014,
Martin Emmrich,No,380,108,2014,
Andrew Whittington,No,11897,109,2014,
Michal Mertinak,No,Unable to Retrieve Information,110,2014,
Mateusz Kowalczyk,No,33500,111,2014,
Marcus Daniell,No,15018,112,2014,
Sanchai Ratiwatana,No,19957,113,2014,
Dominik Meffert,No,2765,114,2014,
Lleyton Hewitt,Yes,477980,115,2014,
Hsien-Yin Peng,No,1609,116,2014,
Sonchat Ratiwatana,No,19709,117,2014,
Miguel Angel Reyes-Varela,No,19540,118,2014,
Divij Sharan,No,43904,119,2014,
Cesar Ramirez,No,5873,120,2014,
Stephane Robert,No,275644,121,2014,
Franko Skugor,No,24628,122,2014,
Jiri Vesely,Yes,445519,123,2014,
Diego Schwartzman,No,256652,124,2014,
Radu Albot,No,98805,125,2014,
Kevin King,No,19678,126,2014,
Konstantin Kravchuk,Yes,19152,127,2014,
Gero Kretschmer,Yes,462,128,2014,
Jamie Cerretani,No,29656,129,2014,
Jaroslav Pospisil,No,14908,130,2014,
Christopher Kas,No,720,131,2014,
Adrian Menendez-Maceiras,No,89585,132,2014,
Frank Moser,No,0,133,2014,
Ti Chen,No,15746,134,2014,
Purav Raja,Yes,35040,135,2014,
Juan-Carlos Spir,No,8612,136,2014,
Roberto Maytin,No,11851,137,2014,
Pablo Carreno Busta,No,532333,138,2014,
Mao-Xin Gong,Yes,16758,139,2014,
Andreas Seppi,Yes,689789,140,2014,
Roman Jebavy,No,11704,141,2014,
Marc Gicquel,Yes,68234,142,2014,
Simone Bolelli,Yes,55808,143,2014,
Mikhail Kukushkin,No,547266,144,2014,
Ross Hutchins,No,0,145,2014,
Igor Zelenay,No,23195,146,2014,
Alessandro Motti,No,0,147,2014,
Fabrice Martin,No,20217,148,2014,
Mikhail Elgin,No,56019,149,2014,
Enrique Lopez Perez,No,53662,150,2014,
Michal Przysiezny,No,284489,151,2014,
Bradley Klahn,No,219549,152,2014,
Juan Monaco,No,449628,153,2014,
Saketh Myneni,No,12194,154,2014,
Guido Pella,No,80118,155,2014,
Jo-Wilfried Tsonga,Yes,1763984,156,2014,
Pere Riba,No,238977,157,2014,
Victor Baluda,No,20978,158,2014,
James Cluskey,No,778,159,2014,
Grigor Dimitrov,No,2559360,160,2014,
Claudio Grassi,No,5512,161,2014,
Nicolas Jarry,No,21208,162,2014,
Ruben Bemelmans,No,85437,163,2014,
Blazej Koniusz,No,6422,164,2014,
Teymuraz Gabashvili,No,594156,165,2014,
Sanam Singh,No,21027,166,2014,
Edward Corrie,No,26194,167,2014,
Riccardo Ghedin,No,6915,168,2014,
Jan-Lennard Struff,No,411560,169,2014,
John Isner,Yes,1284640,170,2014,
Carlos Berlocq,Yes,430623,171,2014,
Sean Thornley,No,0,172,2014,
Dane Propoggia,No,15472,173,2014,
Jamie Delgado,No,Unable to Retrieve Information,174,2014,
Boy Westerhof,No,26450,175,2014,
Eduardo Struvay,No,24218,176,2014,
Andres Molteni,No,9168,177,2014,
Denis Istomin,No,626402,178,2014,
Dmitry Tursunov,No,469850,179,2014,
Yuki Bhambri,No,38813,180,2014,
Peter Polansky,No,138634,181,2014,
Benjamin Balleret,No,30365,182,2014,
Martin Alund,No,62973,183,2014,
Philipp Petzschner,Yes,25336,184,2014,
Igor Sijsling,No,482900,185,2014,
Federico Delbonis,Yes,561477,186,2014,
Yasutaka Uchiyama,No,43580,187,2014,
Richard Gasquet,No,847265,188,2014,
Adrian Ungur,No,67824,189,2014,
Hsin-Han Lee,No,156,190,2014,
Denys Molchanov,No,9622,191,2014,
Hugo Dellien,Yes,21304,192,2014,
Tomas Berdych,Yes,3529535,193,2014,
Tim Puetz,No,8886,194,2014,
Benjamin Becker,Yes,618388,195,2014,
Sergio Galdos,No,8333,196,2014,
Liang-Chi Huang,No,30681,197,2014,
Eduardo Schwank,No,4901,198,2014,
Gerard Granollers,No,8050,199,2014,
Aleksandr Nedovyesov,No,22853,200,2014,
Bob Bryan,Yes,1632856,1,2013,
Mike Bryan,Yes,1632856,2,2013,
Bruno Soares,Yes,776458,3,2013,
Alexander Peya,Yes,764573,4,2013,
David Marrero,Yes,530146,5,2013,
Marcelo Melo,No,508040,6,2013,
Ivan Dodig,Yes,497006,7,2013,
Fernando Verdasco,Yes,875350,8,2013,
Radek Stepanek,No,436788,9,2013,
Leander Paes,No,465778,10,2013,
Marc Lopez,No,367451,11,2013,
Marcel Granollers,No,766626,12,2013,
Rohan Bopanna,Yes,329997,13,2013,
Nenad Zimonjic,Yes,374721,14,2013,
Aisam-Ul-Haq Qureshi,No,385478,15,2013,
Jean-Julien Rojer,No,385478,16,2013,
Edouard Roger-Vasselin,Yes,261494,17,2013,
Marcin Matkowski,Yes,352036,18,2013,
Robert Lindstedt,No,321586,19,2013,
Mariusz Fyrstenberg,Yes,0,20,2013,
Treat Huey,No,302167,21,2013,
Max Mirnyi,Yes,282723,22,2013,
Horia Tecau,No,294483,23,2013,
Michael Llodra,Yes,352747,24,2013,
Daniel Nestor,Yes,270556,25,2013,
Julien Benneteau,Yes,855243,26,2013,
Colin Fleming,No,340,27,2013,
Dominic Inglot,No,253064,28,2013,
John Peers,Yes,207787,29,2013,
Jamie Murray,Yes,207207,30,2013,
Scott Lipsky,No,0,31,2013,
Nicolas Mahut,No,210893,32,2013,
Santiago Gonzalez,Yes,213662,33,2013,
Julian Knowle,No,Unable to Retrieve Information,34,2013,
Mahesh Bhupathi,Yes,Unable to Retrieve Information,35,2013,
Fabio Fognini,Yes,1269835,36,2013,
Lukasz Kubot,No,183470,37,2013,
Oliver Marach,Yes,145878,38,2013,
Igor Sijsling,No,454791,39,2013,
Horacio Zeballos,Yes,151574,40,2013,
Jonathan Marray,No,Unable to Retrieve Information,41,2013,
Martin Emmrich,No,0,42,2013,
Juan Sebastian Cabal,Yes,137927,43,2013,
Raven Klaasen,Yes,120911,44,2013,
Lukas Dlouhy,No,780,45,2013,
Johan Brunstrom,Yes,Unable to Retrieve Information,46,2013,
Eric Butorac,No,690,47,2013,
Robert Farah,No,121431,48,2013,
Andre Begemann,No,116684,49,2013,
Christopher Kas,No,450,50,2013,
Jurgen Melzer,Yes,138026,51,2013,
Jerzy Janowicz,No,1204257,52,2013,
Nicholas Monroe,No,94072,53,2013,
Filip Polasek,No,127119,54,2013,
Simone Bolelli,Yes,97560,55,2013,
Robin Haase,No,543285,56,2013,
Daniele Bracciali,No,139419,57,2013,
James Blake,No,251994,58,2013,
Tomasz Bednarek,No,102814,59,2013,
Frederik Nielsen,No,105478,60,2013,
Simon Stadler,No,2267,61,2013,
Jonathan Erlich,Yes,105220,62,2013,
Pablo Cuevas,No,116773,63,2013,
Florin Mergea,Yes,80387,64,2013,
Andre Sa,No,432,65,2013,
Paul Hanley,No,0,66,2013,
Grigor Dimitrov,No,929859,67,2013,
Andreas Seppi,Yes,929964,68,2013,
Frantisek Cermak,No,360,69,2013,
Divij Sharan,No,61645,70,2013,
Mate Pavic,No,34877,71,2013,
Lukas Rosol,No,560873,72,2013,
John-Patrick Smith,No,68607,73,2013,
Mikhail Youzhny,Yes,1690456,74,2013,
Marin Draganja,No,2239,75,2013,
Mikhail Elgin,No,83963,76,2013,
Ken Skupski,No,72771,77,2013,
Rajeev Ram,Yes,91586,78,2013,
Sam Groth,No,67154,79,2013,
Thomaz Bellucci,Yes,255751,80,2013,
Philipp Oswald,Yes,38550,81,2013,
Chris Guccione,No,51124,82,2013,
Michal Mertinak,No,1962,83,2013,
Philipp Marx,No,Unable to Retrieve Information,84,2013,
Jesse Huta Galung,No,107888,85,2013,
Dustin Brown,No,167544,86,2013,
Neal Skupski,No,29504,87,2013,
Purav Raja,Yes,45161,88,2013,
Vasek Pospisil,No,561193,89,2013,
Rameez Junaid,No,36521,90,2013,
Benoit Paire,No,853872,91,2013,
Jeremy Chardy,Yes,854554,92,2013,
Tommy Haas,No,1486057,93,2013,
Denis Istomin,No,681140,94,2013,
Potito Starace,No,59380,95,2013,
Marcelo Demoliner,No,30051,96,2013,
Frank Moser,No,1751,97,2013,
Mateusz Kowalczyk,No,44735,98,2013,
Paolo Lorenzi,Yes,364039,99,2013,
Jarkko Nieminen,Yes,682301,100,2013,
Jack Sock,No,288901,101,2013,
Austin Krajicek,No,27019,102,2013,
Sanchai Ratiwatana,No,44432,103,2013,
Sonchat Ratiwatana,No,44432,104,2013,
Andreas Siljestrom,No,30852,105,2013,
Martin Klizan,No,430411,106,2013,
Facundo Bagnis,No,52754,107,2013,
Andy Murray,Yes,5366225,108,2013,
